EUR/USD,20090601 00:02:18.260,1.41035,1.41041
EUR/USD,20090601 00:02:18.261,1.41032,1.41041
EUR/USD,20090601 00:02:18.279,1.41037,1.41042
EUR/USD,20090601 00:02:18.335,1.41037,1.41049
EUR/USD,20090601 00:02:18.460,1.41037,1.41047
EUR/USD,20090601 00:02:24.297,1.41037,1.41048
EUR/USD,20090601 00:02:28.453,1.41037,1.41047
EUR/USD,20090601 00:02:34.445,1.41037,1.41048
EUR/USD,20090601 00:02:37.472,1.41037,1.41049
EUR/USD,20090601 00:03:00.957,1.41037,1.41041
EUR/USD,20090601 00:03:01.038,1.41033,1.41041
EUR/USD,20090601 00:03:10.344,1.41033,1.41041
EUR/USD,20090601 00:03:11.263,1.41032,1.41041
EUR/USD,20090601 00:03:11.279,1.41029,1.41042
EUR/USD,20090601 00:03:11.332,1.41027,1.41042
EUR/USD,20090601 00:03:13.258,1.41032,1.41039
EUR/USD,20090601 00:03:13.259,1.4103,1.41041
EUR/USD,20090601 00:03:13.276,1.41032,1.41041
EUR/USD,20090601 00:03:13.297,1.41032,1.4104
EUR/USD,20090601 00:03:27.545,1.41032,1.41041
EUR/USD,20090601 00:03:28.761,1.41032,1.41044
EUR/USD,20090601 00:03:28.762,1.41032,1.41039
EUR/USD,20090601 00:03:28.763,1.41032,1.41046
EUR/USD,20090601 00:03:28.768,1.41027,1.41046
EUR/USD,20090601 00:03:28.792,1.41027,1.4104
EUR/USD,20090601 00:03:28.950,1.41027,1.41042
EUR/USD,20090601 00:03:29.457,1.41027,1.41041
EUR/USD,20090601 00:03:32.940,1.41027,1.4104
EUR/USD,20090601 00:03:43.495,1.41027,1.41045
EUR/USD,20090601 00:03:43.506,1.41027,1.41041
EUR/USD,20090601 00:03:43.509,1.41032,1.41039
EUR/USD,20090601 00:03:43.510,1.41032,1.41041
EUR/USD,20090601 00:03:43.759,1.41037,1.41041
EUR/USD,20090601 00:03:43.807,1.41037,1.4104
EUR/USD,20090601 00:03:43.990,1.41037,1.41044
EUR/USD,20090601 00:03:48.511,1.41037,1.41046
EUR/USD,20090601 00:03:48.528,1.41032,1.41046
EUR/USD,20090601 00:03:48.529,1.41032,1.41041
EUR/USD,20090601 00:03:49.939,1.41032,1.4104
EUR/USD,20090601 00:03:52.940,1.41032,1.41041
